"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"true_peak_wait[1702]",1.706030856975,1.584915,0.812926216719543,0.856253391,0.5594113,3.2082815,1.00047531980101,13104.4355004697,5289.4147542382
"true_peak_wait[1703]",1.5033562072625,1.36301,0.743783263144306,0.6991089105,0.4890327,2.947836,1.00040432804567,10726.8262415191,5438.80541303244
"true_peak_wait[1704]",2.275102431125,2.289055,0.68669785871504,0.758120097,1.1191705,3.372254,1.00112725988664,5630.77427018918,4590.77523818117
"true_peak_wait[1705]",1.878191609875,1.85039,0.595502854168194,0.640134789,0.9655324,2.9096125,0.999923950488095,8061.51020313319,5501.26079856692
"true_peak_wait[1706]",1.7301662573125,1.615535,0.809231770999288,0.870901479,0.5862564,3.210499,1.00042061489348,10490.2460518916,5298.79801341857
"true_peak_wait[1707]",1.12688617861,1.05069,0.684618527487649,0.775577712,0.15515025,2.353682,1.0011984736594,10834.2313834109,4933.03792466568
"true_peak_wait[1708]",1.49676892129375,1.22617,1.13777774802433,0.9918364197,0.17666585,3.710393,1.00055108504477,7797.2480751016,4563.01685446954
"true_peak_wait[1709]",1.72997833107875,1.465245,1.24386147694564,1.135456623,0.2356517,4.1871505,1.0003209411861,9326.76472640063,4998.65249155879
"true_peak_wait[1710]",3.0746337985371,2.622315,2.26612342245859,2.308052376,0.2363438,7.5007015,1.00034677789418,8816.26182030629,4488.0587800476
"true_peak_wait[1711]",3.03513631,2.866435,1.40168491652508,1.317897966,1.0975325,5.5688715,1.00369424452531,918.391309646454,2390.28911517022
